순번,생산라인코드,생산라인명,생산일자,발생시간,종료시간,오류조치시간,비가동코드,Error_Message,품목코드,품목명,오류발생작업장명
10,D004,PET병,2011-01-03,14:16,14:24,8,W0056B4,위치조정,13D02080,참깨흑임자드레싱,충전실
7,D011,2동 오리히로,2011-01-04,18:54,19:03,9,W005711,대기,16A01016,시아스고구마샐러드믹스,충전실
2,C002,쿠커 #2,2011-01-05,9:51,9:58,7,W003452,충전,23K01321,나가사키베이스(재),쿠킹실
13,P004,PET#1,2011-01-05,18:20,20:44,144,W0076B2,구동부,13R02051,이마트베스트돈까스소스,포장실
17,C004,쿠커 #4,2011-01-10,22:32,1:16,164,W003721,충진 미종료,23D02080,참깨흑임자드레싱(재),쿠킹실
19,C006,2동 쿠커 #3,2011-01-10,23:48,0:36,48,W003452,충전,26A01016,시아스고구마샐러드믹스(재),쿠킹실
5,C007,프리머 #1,2011-01-10,9:55,10:05,10,W003452,충전,26B04003,해표골드마요네즈(재),쿠킹실
21,D004,PET병,2011-01-11,2:35,2:42,7,W0056E1,노즐,13D02080,참깨흑임자드레싱,충전실
7,C003,쿠커 #3,2011-01-11,11:13,12:00,47,W003452,충전,1.#JE+00,이마트가쓰오다시국물(재),쿠킹실
19,C006,2동 쿠커 #3,2011-01-12,0:40,4:33,233,W003452,충전,26A02010,시아스단호박샐러드(재),쿠킹실
6,C007,프리머 #1,2011-01-12,14:30,14:40,10,W003452,충전,26B03002,마요네즈-업소용10kg(재),쿠킹실
11,C008,프리머 #2,2011-01-12,19:32,20:48,76,W003711,기타,26B06036,JFC마요네즈1kg(재),쿠킹실
3,D003,로타리 #2,2011-01-12,11:59,13:39,100,W005311,인쇄불량,16B06036,JFC마요네즈1kg,충전실
2,D005,3.2마요,2011-01-13,9:47,10:01,14,W0056E2,시밍,16B06050,신선하고깨끗한마요네즈,충전실
14,P004,PET#1,2011-01-13,17:27,18:04,37,W007212,식사,13U01141,요리愛[애]요리당,포장실
4,C006,2동 쿠커 #3,2011-01-15,5:00,6:50,110,W003452,충전,26A02010,시아스단호박샐러드(재),쿠킹실
9,C010,파일롯,2011-01-17,12:40,13:16,36,W003312,전처리,23K01312,서비스면양념장(재),쿠킹실
28,D004,PET병,2011-01-17,18:15,18:27,12,W0056E1,노즐,13D02080,참깨흑임자드레싱,충전실
20,C003,쿠커 #3,2011-01-18,19:23,19:47,24,W003452,충전,23S05061,미스터피자치킨스파게티소스(재),쿠킹실
13,C008,프리머 #2,2011-01-18,14:10,15:00,50,W003452,충전,26B06014,이마트 고소한 마요네즈250g(재),쿠킹실
3,D005,3.2마요,2011-01-18,9:06,9:09,3,W0056A4,히터,16B04003,해표골드마요네즈,충전실
13,D004,PET병,2011-01-20,14:14,14:36,22,W005211,교육,13R02052,이마트베스트스테이크소스,충전실
7,D011,2동 오리히로,2011-01-21,14:10,14:30,20,W005492,교체,16A01001,고구마샐러드-P,충전실
6,D011,2동 오리히로,2011-01-22,22:20,0:01,101,W005313,불량교체,16A02010,시아스단호박샐러드,충전실
23,D011,2동 오리히로,2011-01-25,0:00,0:10,10,W005492,교체,16A01002,감자샐러드-P,충전실
18,C006,2동 쿠커 #3,2011-01-25,22:30,23:45,75,W003452,충전,26A02010,시아스단호박샐러드(재),쿠킹실
11,D005,3.2마요,2011-01-25,17:13,17:26,13,W0056E2,시밍,16B04008,소후레쉬마요네즈골드3.2kg,충전실
15,D005,3.2마요,2011-01-25,18:54,19:08,14,W0056E2,시밍,16B04008,소후레쉬마요네즈골드3.2kg,충전실
12,D004,PET병,2011-01-26,13:57,14:00,3,W005711,대기,13D02150,1/2샐러드소스 파인애플,충전실
8,C001,쿠커 #1,2011-01-27,10:46,11:44,58,W003312,전처리,23P05010,시아스피자소스(재),쿠킹실
15,C001,쿠커 #1,2011-01-27,14:00,14:51,51,W003312,전처리,23P05010,시아스피자소스(재),쿠킹실
25,C008,프리머 #2,2011-01-27,21:05,22:35,90,W003471,시생산 지연,23D01170,KFC마요드레싱3kg(재),쿠킹실
7,D005,3.2마요,2011-01-28,11:30,11:55,25,W005631,그립퍼,16B06008,이츠웰골드마요네즈3.2kg,충전실
17,D011,2동 오리히로,2011-01-28,14:15,15:10,55,W005441,씰바 셋팅,16A01016,시아스고구마샐러드믹스,충전실
25,D011,2동 오리히로,2011-01-28,22:42,22:55,13,W005313,불량교체,16A01002,감자샐러드-P,충전실
10,C007,프리머 #1,2011-02-16,12:58,13:35,37,W003212,식사,26B04003,해표골드마요네즈(재),쿠킹실
18,C007,프리머 #1,2011-02-16,15:05,15:19,14,W003452,충전,26B04003,해표골드마요네즈(재),쿠킹실
4,C003,쿠커 #3,2011-02-18,9:01,9:16,15,W003471,시생산 지연,,,쿠킹실
19,P004,PET#1,2011-02-22,0:31,1:37,66,W007212,식사,13D03088,포도씨유로만든블루베리드레싱540g,포장실
31,C004,쿠커 #4,2011-02-24,2:30,5:11,161,W003721,충진 미종료,23D02150,1/2샐러드소스 파인애플(재),쿠킹실
26,C007,프리머 #1,2011-02-23,19:10,19:24,14,W003452,충전,26B04003,해표골드마요네즈(재),쿠킹실
32,P004,PET#1,2011-02-24,5:30,6:29,59,W007212,식사,13D02140,세서미오리엔탈드레싱,포장실
21,C003,쿠커 #3,2011-03-01,15:27,15:53,26,W003452,충전,26A03003,살사후실리샐러드(재),쿠킹실
14,C007,프리머 #1,2011-03-01,13:05,13:35,30,W003212,식사,26B03004,마요네즈-업소용18kg(재),쿠킹실
